Features;Accuracy
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 20];73.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 21];74.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22];75.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 23];71.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 24];75.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 25];73.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 26];75.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 29];72.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 30];75.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 31];72.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 32];73.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 37];73.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 38];72.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 40];71.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 1];72.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 3];73.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 5];72.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 6];73.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8];75.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 11];72.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 12];72.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 13];72.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 15];73.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 16];71.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 17];71.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 18];72.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 19];72.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 20];73.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 21];74.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 23];70.3
